Booking number,Booking Date,Status,Check-in date,Check-out date,nights,Price per night without tax,Rent with VAT on top,Rent without VAT,Extras with VAT on top,Extras without VAT,Booking total with tax,Booking total without tax,Total tax,Paid,Adults,Children,Babies,Accommodation name,Property ID,Building,City,Portal / Agent,Website of origin,Booking window,Check-in Month,Season,Check-in Day,Weekend
TEST1,2024-08-15,Paid,2024-12-05,2024-12-10,5.0,151.8,759.0,759.0,65.0,65.0,849.0,824.0,25.0,824.0,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,112,12,Medium,Thursday,False
TEST2,2024-08-07,Confirmed,2024-08-07,2024-08-08,1.0,158.4,158.4,158.4,65.0,65.0,227.4,223.4,4.0,223.4,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,8,High,Wednesday,False
TEST3,2024-07-29,Confirmed,2024-07-30,2024-08-01,2.0,118.1,236.2,236.2,55.0,55.0,297.2,291.2,6.0,291.2,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,1,7,Medium,Tuesday,False
TEST4,2024-07-26,Confirmed,2024-07-26,2024-07-29,3.0,204.71,614.14,614.14,65.0,65.0,691.14,679.14,12.0,679.14,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,7,Medium,Friday,False
TEST5,2024-07-23,Confirmed,2024-08-08,2024-08-31,23.0,234.13,5384.9,5384.9,65.0,65.0,5463.9,5449.9,14.0,5449.9,2,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,16,8,High,Thursday,False
TEST6,2024-07-18,Confirmed,2024-07-19,2024-07-22,3.0,234.49,703.47,703.47,65.0,65.0,780.47,768.47,12.0,780.47,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,1,7,Medium,Friday,False
TEST7,2024-07-15,Paid,2024-09-06,2024-09-10,4.0,320.65,1282.6,1282.6,65.0,65.0,1359.6,1347.6,12.0,1347.6,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,53,9,High,Friday,False
TEST8,2024-07-11,Confirmed,2024-08-01,2024-08-07,6.0,254.79,1528.75,1528.75,65.0,65.0,1593.75,1593.75,0.0,1593.75,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,21,8,High,Thursday,False
TEST9,2024-07-03,Confirmed,2024-07-03,2024-07-04,1.0,153.45,153.45,153.45,65.0,65.0,222.45,218.45,4.0,218.45,4,2,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,7,Medium,Wednesday,False
TEST10,2024-07-01,Confirmed,2024-07-01,2024-07-03,2.0,132.0,264.0,264.0,65.0,65.0,329.0,329.0,0.0,329.0,1,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,7,Medium,Monday,False
TEST11,2024-06-30,Confirmed,2024-07-12,2024-07-19,7.0,270.32,1892.27,1892.27,65.0,65.0,1992.27,1957.27,35.0,1957.27,4,2,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,12,7,Medium,Friday,False
TEST12,2024-06-29,Confirmed,2024-07-04,2024-07-08,4.0,229.19,916.74,916.74,65.0,65.0,997.74,981.74,16.0,981.74,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,5,7,Medium,Thursday,False
TEST13,2024-06-21,Confirmed,2024-07-10,2024-07-12,2.0,233.0,466.0,466.0,65.0,65.0,531.0,531.0,0.0,531.0,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,19,7,Medium,Wednesday,False
TEST14,2024-06-19,Confirmed,2024-06-19,2024-06-20,1.0,143.55,143.55,143.55,65.0,65.0,212.55,208.55,4.0,212.55,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,6,Medium,Wednesday,False
TEST15,2024-06-16,Confirmed,2024-07-22,2024-07-25,3.0,312.51,937.53,937.53,65.0,65.0,1014.53,1002.53,12.0,1002.53,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,36,7,Medium,Monday,False
TEST17,2024-06-07,Confirmed,2024-06-13,2024-06-14,1.0,207.0,207.0,207.0,65.0,65.0,272.0,272.0,0.0,272.0,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,6,6,Medium,Thursday,False
TEST18,2024-06-07,Confirmed,2024-06-10,2024-06-13,3.0,206.91,620.73,620.73,65.0,65.0,694.73,685.73,9.0,685.73,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,3,6,Medium,Monday,False
TEST19,2024-05-31,Confirmed,2024-06-03,2024-06-07,4.0,197.01,788.04,788.04,246.56,246.56,1046.6,1034.6,12.0,1046.6,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,3,6,Medium,Monday,False
TEST20,2024-05-25,Confirmed,2024-05-25,2024-05-31,6.0,201.8,1210.77,1210.77,65.0,65.0,1299.77,1275.77,24.0,0.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,5,Medium,Saturday,True
TEST21,2024-05-21,Confirmed,2024-05-31,2024-06-03,3.0,459.42,1378.26,1378.26,65.0,65.0,1464.26,1443.26,21.0,1464.26,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,10,5,Medium,Friday,False
TEST22,2024-05-19,Confirmed,2024-05-19,2024-05-20,1.0,307.0,307.0,307.0,65.0,65.0,372.0,372.0,0.0,372.0,1,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,5,Medium,Sunday,True
TEST23,2024-05-16,Confirmed,2024-05-16,2024-05-19,3.0,289.33,868.0,868.0,65.0,65.0,933.0,933.0,0.0,933.0,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,5,Medium,Thursday,False
TEST24,2024-04-30,Confirmed,2024-06-23,2024-06-30,7.0,317.48,2222.37,2222.37,65.0,65.0,2322.37,2287.37,35.0,2322.37,5,1,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,54,6,Medium,Sunday,True
TEST25,2024-04-25,Confirmed,2024-04-25,2024-04-26,1.0,222.75,222.75,222.75,65.0,65.0,291.75,287.75,4.0,287.75,4,3,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,4,Medium,Thursday,False
TEST26,2024-04-21,Confirmed,2024-05-02,2024-05-15,13.0,330.44,4295.71,4295.71,65.0,65.0,4402.71,4360.71,42.0,4360.71,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homes & Villas by Marriott International,homes-and-villas.marriott.com,11,5,Medium,Thursday,False
TEST27,2024-04-15,Confirmed,2024-04-15,2024-04-16,1.0,128.7,128.7,128.7,65.0,65.0,196.7,193.7,3.0,193.7,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,4,Medium,Monday,False
TEST28,2024-04-13,Confirmed,2024-06-14,2024-06-18,4.0,447.17,1788.68,1788.68,65.0,65.0,1881.68,1853.68,28.0,1881.68,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,62,6,Medium,Friday,False
TEST29,2024-04-09,Confirmed,2024-04-12,2024-04-15,3.0,249.81,749.43,749.43,65.0,65.0,829.43,814.43,15.0,829.43,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,3,4,Medium,Friday,False
TEST30,2024-04-05,Confirmed,2024-04-26,2024-05-01,5.0,426.78,2133.9,2133.9,65.0,65.0,2213.9,2198.9,15.0,2213.9,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,21,4,Medium,Friday,False
TEST31,2024-04-02,Confirmed,2024-04-03,2024-04-04,1.0,95.0,95.0,95.0,65.0,65.0,164.0,160.0,4.0,164.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,1,4,Medium,Wednesday,False
TEST32,2024-04-02,Confirmed,2024-04-23,2024-04-25,2.0,390.06,780.12,780.12,65.0,65.0,851.12,845.12,6.0,845.12,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,21,4,Medium,Tuesday,False
TEST33,2024-03-27,Confirmed,2024-04-16,2024-04-18,2.0,199.35,398.7,398.7,65.0,65.0,469.7,463.7,6.0,469.7,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,20,4,Medium,Tuesday,False
TEST34,2024-03-26,Confirmed,2024-04-04,2024-04-12,8.0,223.91,1791.24,1791.24,65.0,65.0,1891.24,1856.24,35.0,1856.24,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,9,4,Medium,Thursday,False
TEST35,2024-03-26,Confirmed,2024-03-28,2024-03-30,2.0,234.63,469.26,469.26,65.0,65.0,542.26,534.26,8.0,542.26,4,3,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,2,3,Low,Thursday,False
TEST36,2024-03-25,Confirmed,2024-05-20,2024-05-24,4.0,293.15,1172.6,1172.6,65.0,65.0,1261.6,1237.6,24.0,1261.6,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,56,5,Medium,Monday,False
TEST37,2024-03-19,Confirmed,2024-03-20,2024-03-21,1.0,112.86,112.86,112.86,102.98,102.98,218.84,215.84,3.0,218.84,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,1,3,Low,Wednesday,False
TEST38,2024-03-17,Confirmed,2024-04-19,2024-04-23,4.0,298.58,1194.3,1194.3,65.0,65.0,1267.3,1259.3,8.0,1259.3,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,33,4,Medium,Friday,False
