Accommodation name,Property ID,Date,Day,Price per night without tax,Year,Month,Day of the Week,Weekend
Test home 1,123456,2022-01-01,5,171.0,2022,1,Saturday,True
Test home 1,123456,2022-01-02,6,107.0,2022,1,Sunday,True
Test home 1,123456,2022-01-03,0,68.0,2022,1,Monday,False
Test home 1,123456,2022-01-04,1,64.0,2022,1,Tuesday,False
Test home 1,123456,2022-01-05,2,64.0,2022,1,Wednesday,False
Test home 1,123456,2022-01-06,3,64.0,2022,1,Thursday,False
Test home 1,123456,2022-01-07,4,59.0,2022,1,Friday,False
Test home 1,123456,2022-01-08,5,59.0,2022,1,Saturday,True
Test home 1,123456,2022-01-09,6,59.0,2022,1,Sunday,True
Test home 1,123456,2022-01-10,0,59.0,2022,1,Monday,False
Test home 1,123456,2022-01-11,1,56.0,2022,1,Tuesday,False
Test home 1,123456,2022-01-12,2,56.0,2022,1,Wednesday,False
Test home 1,123456,2022-01-13,3,56.0,2022,1,Thursday,False
Test home 1,123456,2022-01-14,4,78.0,2022,1,Friday,False
Test home 1,123456,2022-01-15,5,60.0,2022,1,Saturday,True
Test home 1,123456,2022-01-16,6,60.0,2022,1,Sunday,True
Test home 1,123456,2022-01-17,0,56.0,2022,1,Monday,False
Test home 1,123456,2022-01-18,1,56.0,2022,1,Tuesday,False
Test home 1,123456,2022-01-19,2,56.0,2022,1,Wednesday,False
Test home 1,123456,2022-01-20,3,60.0,2022,1,Thursday,False
Test home 1,123456,2022-01-21,4,60.0,2022,1,Friday,False
Test home 1,123456,2022-01-22,5,60.0,2022,1,Saturday,True
Test home 1,123456,2022-01-23,6,60.0,2022,1,Sunday,True
Test home 1,123456,2022-01-24,0,56.0,2022,1,Monday,False
Test home 1,123456,2022-01-25,1,55.0,2022,1,Tuesday,False
Test home 1,123456,2022-01-26,2,51.0,2022,1,Wednesday,False
Test home 1,123456,2022-01-27,3,51.0,2022,1,Thursday,False
Test home 1,123456,2022-01-28,4,52.0,2022,1,Friday,False
Test home 1,123456,2022-01-29,5,52.0,2022,1,Saturday,True
Test home 1,123456,2022-01-30,6,52.0,2022,1,Sunday,True
Test home 1,123456,2022-01-31,0,52.0,2022,1,Monday,False
Test home 1,123456,2022-02-01,1,52.0,2022,2,Tuesday,False
Test home 1,123456,2022-02-02,2,52.0,2022,2,Wednesday,False
Test home 1,123456,2022-02-03,3,66.0,2022,2,Thursday,False
Test home 1,123456,2022-02-04,4,74.0,2022,2,Friday,False
Test home 1,123456,2022-02-05,5,79.0,2022,2,Saturday,True
Test home 1,123456,2022-02-06,6,55.0,2022,2,Sunday,True
Test home 1,123456,2022-02-07,0,52.0,2022,2,Monday,False
Test home 1,123456,2022-02-08,1,52.0,2022,2,Tuesday,False
Test home 1,123456,2022-02-09,2,52.0,2022,2,Wednesday,False
Test home 1,123456,2022-02-10,3,88.0,2022,2,Thursday,False
Test home 1,123456,2022-02-11,4,92.0,2022,2,Friday,False
Test home 1,123456,2022-02-12,5,96.0,2022,2,Saturday,True
Test home 1,123456,2022-02-13,6,65.0,2022,2,Sunday,True
Test home 1,123456,2022-02-14,0,65.0,2022,2,Monday,False
Test home 1,123456,2022-02-15,1,88.0,2022,2,Tuesday,False
Test home 1,123456,2022-02-16,2,96.0,2022,2,Wednesday,False
Test home 1,123456,2022-02-17,3,98.0,2022,2,Thursday,False
Test home 1,123456,2022-02-18,4,106.0,2022,2,Friday,False
Test home 1,123456,2022-02-19,5,106.0,2022,2,Saturday,True
Test home 1,123456,2022-02-20,6,96.0,2022,2,Sunday,True
Test home 1,123456,2022-02-21,0,65.0,2022,2,Monday,False
Test home 1,123456,2022-02-22,1,65.0,2022,2,Tuesday,False
Test home 1,123456,2022-02-23,2,65.0,2022,2,Wednesday,False
Test home 1,123456,2022-02-24,3,126.0,2022,2,Thursday,False
Test home 1,123456,2022-02-25,4,130.0,2022,2,Friday,False
Test home 1,123456,2022-02-26,5,175.0,2022,2,Saturday,True
Test home 1,123456,2022-02-27,6,256.0,2022,2,Sunday,True
Test home 1,123456,2022-02-28,0,213.0,2022,2,Monday,False
Test home 1,123456,2022-03-01,1,207.0,2022,3,Tuesday,False
Test home 1,123456,2022-03-02,2,170.0,2022,3,Wednesday,False
Test home 1,123456,2022-03-03,3,155.0,2022,3,Thursday,False
Test home 1,123456,2022-03-04,4,112.0,2022,3,Friday,False
Test home 1,123456,2022-03-05,5,113.0,2022,3,Saturday,True
Test home 1,123456,2022-03-06,6,65.0,2022,3,Sunday,True
Test home 1,123456,2022-03-07,0,65.0,2022,3,Monday,False
Test home 1,123456,2022-03-08,1,65.0,2022,3,Tuesday,False
Test home 1,123456,2022-03-09,2,65.0,2022,3,Wednesday,False
Test home 1,123456,2022-03-10,3,163.0,2022,3,Thursday,False
Test home 1,123456,2022-03-11,4,167.0,2022,3,Friday,False
Test home 1,123456,2022-03-12,5,166.0,2022,3,Saturday,True
Test home 1,123456,2022-03-13,6,107.0,2022,3,Sunday,True
Test home 1,123456,2022-03-14,0,63.0,2022,3,Monday,False
Test home 1,123456,2022-03-15,1,57.0,2022,3,Tuesday,False
Test home 1,123456,2022-03-16,2,58.0,2022,3,Wednesday,False
Test home 1,123456,2022-03-17,3,124.0,2022,3,Thursday,False
Test home 1,123456,2022-03-18,4,134.0,2022,3,Friday,False
Test home 1,123456,2022-03-19,5,141.0,2022,3,Saturday,True
Test home 1,123456,2022-03-20,6,84.0,2022,3,Sunday,True
